raw_name,clean_name
magnite ctv,Magnite
freewheel,Freewheel
tubi,Tubi
google,Google
pubmatic,Pubmatic
index exchange,Index Exchange
nexxen,Nexxen
a360,a360
accuweather,accuweather
advancelocal,advancelocal
apartment,apartment
bdg,bdg
beachfront,beachfront
bidswitch,bidswitch
brainly,brainly
cafemedia (raptive),cafemedia (raptive)
connatix,connatix
criteo commerce-grid,criteo commerce-grid
dailydot,dailydot
dailymotion,dailymotion
dailyvoice,dailyvoice
epsilon,epsilon
ezoic,ezoic
footballco,footballco
freestar,freestar
genius,genius
grv media,grv media
gumgum,gumgum
healthlinemedia,healthlinemedia
hearstmagazines,hearstmagazines
hearstnewspapers,hearstnewspapers
hearsttv,hearsttv
kgmedia,kgmedia
lefigaro,lefigaro
longitudeads,longitudeads
magnite dv+,Magnite
medianet,medianet
motorsport network,motorsport network
narcity,narcity
nativo,nativo
newsweek,newsweek
nitro,nitro
ogury,Ogury
openx,OpenX
outside,outside
ozone,ozone
playwire,playwire
prensa,prensa
primis,primis
prisa,prisa
resetdigitaldirect,resetdigitaldirect
sharethrough,ShareThrough
shemedia,shemedia
slate,slate
smaato,smaato
smartadserver,smartadserver
smartclip,smartclip
snackmedia,snackmedia
sonobi,sonobi
staticmedia,staticmedia
synacor,synacor
taboola,taboola
teadstv,teadstv
the33across,the33across
thearenagroup,thearenagroup
theindependent,theindependent
townsquare,townsquare
triplelift,TripleLift
trustx,TrustX
unwindmedia,unwindmedia
usnews,usnews
verticalscope,verticalscope
webediaspain,webediaspain
worldofgood,worldofgood
xandr – monetize ssp (appnexus),xandr – monetize ssp (appnexus)
yieldlab,yieldlab
chegg,chegg
dotdash,dotdash
encyclopediabritannica,encyclopediabritannica
inmobi exchange,inmobi exchange
insider,insider
journey,journey
kargo,Kargo
mediavine,mediavine
penskemedia,penskemedia
pubnation,pubnation
sovrn,sovrn
sspx,sspx
timesinternet,timesinternet
unidad,unidad
valnet,valnet
yieldmo,yieldmo
ziffdavis,ziffdavis
fox news media,fox news media
nypost,nypost
hola,hola
pelmorex,pelmorex
ranker,ranker
fubo,fubo
